,beat_pitch
254,"[[(1, 72), (4, 72), (5, 71), (6, 69), (7, 76), (9, 76), (10, 79), (11, 76), (12, 73)], [(1, 72), (4, 72), (5, 71), (6, 72), (7, 71), (8, 72), (9, 70), (10, 74), (11, 76)], [(1, 72), (5, 69), (6, 71), (7, 72), (8, 69), (9, 70), (11, 70)], [(1, 72), (3, 76), (4, 74), (5, 74), (6, 73), (7, 71), (8, 67), (9, 62), (11, 60)], [(1, 72), (3, 70), (4, 69), (5, 70), (6, 69), (7, 71), (8, 73), (9, 74), (11, 71)], [(1, 72), (3, 69), (4, 68), (5, 68), (7, 71), (8, 72), (9, 74), (11, 73)], [(1, 72), (3, 71), (4, 74), (5, 72), (7, 76), (9, 81), (11, 79)], [(1, 72), (2, 71), (3, 74), (4, 73), (5, 77), (7, 77), (9, 79), (11, 76), (12, 74)]]"
255,"[[(1, 64), (3, 62), (4, 61), (5, 62), (9, 62), (11, 62)], [(1, 64), (3, 64), (4, 66), (5, 67), (9, 55)], [(1, 64), (3, 62), (4, 60), (5, 67), (7, 67), (9, 71)], [(1, 64), (3, 64), (4, 66), (5, 67), (9, 55)], [(1, 64), (2, 67), (3, 69), (4, 68), (5, 69), (9, 69)], [(1, 64), (2, 66), (3, 67), (4, 66), (5, 67), (7, 70), (8, 74), (9, 76)], [(1, 64), (3, 72), (4, 74), (5, 79), (7, 84), (8, 81), (9, 82), (12, 84)], [(1, 64), (3, 72), (4, 76), (5, 77), (7, 76), (8, 79), (9, 78)]]"
256,"[[(1, 69), (3, 69), (5, 72), (7, 71), (8, 69), (9, 78), (10, 81), (11, 79)], [(1, 69), (3, 68), (5, 69), (7, 71), (8, 72), (9, 71), (11, 69), (12, 72)], [(1, 69), (2, 70), (3, 69), (5, 69), (6, 70), (7, 69), (8, 66), (9, 67), (11, 72), (12, 74)], [(1, 69), (3, 69), (5, 69), (7, 69), (8, 65), (9, 64), (11, 64), (12, 62)], [(1, 69), (3, 67), (4, 66), (5, 62), (7, 62), (8, 60), (9, 63), (11, 67), (12, 69)], [(1, 69), (3, 78), (4, 76), (5, 76), (7, 76), (8, 72), (9, 73), (11, 70)], [(1, 69), (3, 72), (4, 76), (5, 74), (7, 81), (8, 80), (9, 80)], [(1, 69), (3, 67), (4, 65), (5, 64), (7, 69), (8, 67), (9, 66), (11, 62), (12, 64)]]"
257,"[[(1, 70), (3, 82), (4, 79), (5, 77), (6, 81), (7, 79), (9, 83), (11, 85)], [(1, 70), (3, 69), (4, 66), (5, 67), (7, 64), (8, 67), (9, 72), (11, 71)], [(1, 70), (3, 69), (4, 71), (5, 69), (7, 69), (8, 72), (9, 74), (11, 77)], [(1, 70), (3, 70), (4, 69), (5, 71), (7, 74), (8, 72), (9, 71)], [(1, 70), (3, 69), (4, 70), (5, 69), (7, 67), (9, 71)], [(1, 70), (3, 58), (4, 60), (5, 59), (7, 60), (9, 58)], [(1, 70), (3, 72), (4, 76), (5, 78), (6, 80), (7, 78), (8, 76), (9, 72)], [(1, 70), (3, 72), (4, 76), (5, 74), (7, 72), (8, 71), (9, 73)]]"
258,"[[(1, 69), (3, 69), (5, 65), (7, 70), (8, 69), (9, 72), (10, 69)], [(1, 69), (3, 66), (4, 64), (5, 66), (7, 71), (8, 69), (9, 70)], [(1, 69), (2, 73), (3, 74), (4, 73), (5, 74), (6, 76), (7, 81), (8, 79), (9, 81)], [(1, 69), (3, 74), (4, 73), (5, 72), (6, 70), (7, 69), (8, 72), (9, 71), (10, 67)], [(1, 69), (3, 69), (4, 68), (5, 67), (7, 70), (8, 69), (9, 67)], [(1, 69), (3, 67), (4, 71), (5, 69), (6, 71), (7, 69), (9, 71)], [(1, 69), (3, 67), (4, 66), (5, 62), (7, 62), (9, 63)], [(1, 69), (3, 69), (4, 68), (5, 69), (7, 67), (8, 64), (9, 62)]]"
259,"[[(1, 67), (3, 71), (4, 67), (5, 71), (6, 69), (7, 71), (9, 73)], [(1, 67), (3, 64), (4, 67), (5, 71), (6, 67), (7, 66), (8, 62), (9, 69), (11, 62), (12, 60)], [(1, 67), (3, 66), (4, 64), (5, 62), (6, 60), (7, 58), (9, 60), (10, 58), (11, 57)], [(1, 67), (3, 69), (4, 70), (5, 69), (6, 68), (7, 69), (9, 69), (11, 67)], [(1, 67), (2, 66), (3, 67), (4, 71), (5, 71), (6, 69), (7, 71), (9, 69)], [(1, 67), (2, 66), (3, 69), (4, 68), (5, 69), (6, 66), (7, 69), (8, 67), (9, 69)], [(1, 67), (3, 71), (4, 70), (5, 69), (6, 66), (7, 67), (8, 69), (9, 69), (11, 69)], [(1, 67), (3, 71), (4, 74), (5, 71), (7, 78), (8, 81), (9, 82), (10, 81), (11, 79)]]"
260,"[[(1, 62), (3, 66), (4, 67), (5, 72), (7, 72), (8, 74), (9, 71), (12, 69)], [(1, 62), (2, 61), (3, 62), (4, 58), (5, 55), (7, 79), (8, 74), (9, 72), (11, 69), (12, 67)], [(1, 62), (4, 65), (5, 64), (7, 79), (8, 81), (9, 81), (11, 81), (12, 77)], [(1, 62), (2, 66), (3, 69), (4, 67), (5, 71), (6, 74), (7, 76), (8, 78), (9, 76), (11, 72), (12, 74)], [(1, 62), (2, 67), (3, 71), (4, 74), (5, 70), (7, 82), (8, 79), (9, 74), (11, 74), (12, 72)], [(1, 62), (4, 66), (5, 67), (7, 66), (8, 64), (9, 62), (11, 77), (12, 81)], [(1, 62), (2, 66), (3, 67), (4, 71), (5, 74), (6, 73), (7, 74), (8, 73), (9, 74), (11, 72), (12, 69)], [(1, 62), (2, 61), (3, 62), (4, 66), (5, 67), (6, 69), (7, 72), (9, 72), (11, 74)]]"
261,"[[(1, 81), (2, 79), (3, 76), (4, 75), (5, 76), (7, 78), (8, 74), (9, 76)], [(1, 81), (3, 73), (4, 74), (5, 76), (7, 79), (8, 70), (9, 72), (10, 71)], [(1, 81), (3, 81), (4, 78), (5, 76), (7, 74), (9, 74)], [(1, 81), (3, 81), (4, 72), (5, 69), (7, 67), (9, 65)], [(1, 81), (3, 76), (4, 74), (5, 74), (9, 72), (11, 72)], [(1, 81), (3, 80), (4, 81), (5, 76), (7, 79), (9, 79), (11, 71), (12, 69)], [(1, 81), (3, 77), (4, 76), (5, 71), (7, 69), (9, 68), (11, 67), (12, 66)], [(1, 81), (3, 76), (4, 77), (5, 79), (7, 77), (8, 75), (9, 74), (11, 72), (12, 74)]]"
262,"[[(1, 69), (2, 70), (3, 69), (4, 72), (5, 74), (7, 77), (9, 76), (11, 77)], [(1, 69), (2, 70), (3, 69), (4, 68), (5, 69), (6, 72), (7, 71), (9, 72), (11, 74), (12, 78)], [(1, 69), (3, 66), (4, 69), (5, 66), (6, 62), (7, 69), (8, 67), (9, 71), (11, 67), (12, 70)], [(1, 69), (2, 73), (3, 74), (4, 72), (5, 72), (7, 72), (8, 76), (9, 74), (11, 74), (12, 72)], [(1, 69), (2, 72), (3, 71), (4, 69), (5, 70), (6, 74), (7, 73), (8, 71), (9, 71), (11, 69), (12, 67)], [(1, 69), (3, 77), (5, 74), (6, 72), (7, 71), (8, 72), (9, 74), (10, 72), (11, 74), (12, 72)], [(1, 69), (3, 72), (4, 71), (5, 71), (6, 67), (7, 70), (8, 72), (9, 74), (11, 76), (12, 73)], [(1, 69), (3, 69), (4, 68), (5, 69), (7, 72), (8, 74), (9, 76), (11, 79)]]"
263,"[[(1, 72), (4, 76), (5, 77), (7, 74), (8, 73), (9, 74), (11, 72), (12, 72)], [(1, 72), (4, 81), (5, 78), (7, 76), (8, 74), (9, 73), (11, 71)], [(1, 72), (3, 72), (4, 74), (5, 72), (7, 57), (8, 60), (9, 62)], [(1, 72), (2, 71), (3, 69), (4, 68), (5, 69), (7, 64), (8, 62), (9, 69)], [(1, 72), (4, 76), (5, 74), (7, 72), (8, 70), (9, 74)], [(1, 72), (3, 72), (4, 76), (5, 77), (7, 76), (8, 74), (9, 72)], [(1, 72), (2, 71), (3, 69), (4, 68), (5, 67), (7, 69), (8, 72), (9, 74), (11, 70)], [(1, 72), (2, 70), (3, 72), (4, 71), (5, 72), (6, 69), (7, 67), (8, 70), (9, 67), (10, 66), (11, 69)]]"
264,"[[(1, 57), (3, 61), (4, 64), (5, 67), (9, 55)], [(1, 57), (3, 74), (4, 70), (5, 72), (9, 74)], [(1, 57), (3, 72), (4, 69), (5, 62), (7, 74), (9, 72)], [(1, 57), (3, 72), (4, 69), (5, 71), (6, 72), (7, 71), (9, 69), (10, 67)], [(1, 57), (3, 72), (4, 69), (5, 69), (7, 67), (9, 67), (10, 65), (11, 69)], [(1, 57), (2, 64), (3, 62), (4, 65), (5, 64), (7, 79), (9, 78), (11, 74)], [(1, 57), (3, 60), (5, 62), (7, 70), (9, 67), (11, 71)], [(1, 57), (3, 60), (4, 58), (5, 60), (6, 64), (7, 67), (9, 67), (11, 64)]]"
265,"[[(1, 74), (3, 76), (4, 74), (5, 76), (6, 73), (7, 72), (9, 74)], [(1, 74), (3, 74), (4, 71), (5, 74), (7, 72), (9, 74), (11, 71)], [(1, 74), (2, 73), (3, 71), (4, 73), (5, 73), (7, 74), (9, 76), (11, 74)], [(1, 74), (2, 71), (3, 73), (4, 71), (5, 72), (7, 69), (8, 67), (9, 69)], [(1, 74), (2, 72), (3, 71), (4, 73), (5, 74), (7, 76), (8, 74), (9, 79)], [(1, 74), (2, 73), (3, 71), (4, 73), (5, 69), (7, 73), (8, 71), (9, 72), (11, 71)], [(1, 74), (2, 76), (3, 77), (4, 74), (5, 76), (6, 77), (7, 74), (9, 76), (11, 74)], [(1, 74), (3, 73), (4, 76), (5, 77), (6, 76), (7, 78), (9, 79), (11, 81), (12, 83)]]"
266,"[[(1, 62), (3, 70), (4, 72), (5, 76), (9, 74), (11, 76), (12, 72)], [(1, 62), (3, 74), (4, 71), (5, 69), (7, 67), (8, 70), (9, 69), (11, 71), (12, 73)], [(1, 62), (3, 62), (4, 61), (5, 62), (6, 60), (7, 59), (9, 71), (11, 67), (12, 70)], [(1, 62), (3, 78), (4, 79), (5, 81), (6, 79), (7, 81), (9, 79)], [(1, 62), (2, 67), (3, 69), (4, 70), (5, 74), (7, 79), (9, 77)], [(1, 62), (2, 67), (3, 72), (4, 76), (5, 74), (6, 71), (7, 73), (8, 71), (9, 72)], [(1, 62), (3, 74), (4, 76), (5, 77), (6, 81), (7, 79), (8, 76), (9, 78)], [(1, 62), (3, 67), (4, 64), (5, 65), (7, 67), (9, 62)]]"
267,"[[(1, 76), (3, 76), (4, 73), (5, 74), (9, 62), (11, 78), (12, 81)], [(1, 76), (3, 74), (4, 73), (5, 74), (7, 77), (9, 75), (11, 74), (12, 78)], [(1, 76), (3, 73), (4, 71), (5, 72), (7, 71), (9, 74)], [(1, 76), (3, 76), (4, 73), (5, 74), (9, 62)], [(1, 76), (3, 76), (4, 73), (5, 74), (7, 72), (8, 69), (9, 71)], [(1, 76), (3, 74), (5, 73), (7, 73), (8, 71), (9, 67), (11, 66)], [(1, 76), (2, 81), (3, 79), (4, 72), (5, 77), (7, 76), (8, 69), (9, 70), (11, 70)], [(1, 76), (2, 78), (3, 76), (4, 78), (5, 79), (7, 78), (8, 69), (9, 67), (11, 70)]]"
268,"[[(1, 69), (3, 73), (4, 71), (5, 74), (7, 71), (9, 69)], [(1, 69), (3, 67), (4, 66), (5, 62), (9, 64)], [(1, 69), (4, 71), (5, 72), (9, 60)], [(1, 69), (3, 67), (4, 66), (5, 67), (9, 55)], [(1, 69), (3, 71), (4, 74), (5, 70), (7, 69), (9, 66)], [(1, 69), (3, 69), (4, 73), (5, 74), (7, 74), (9, 76), (11, 79), (12, 74)], [(1, 69), (2, 71), (3, 69), (4, 67), (5, 67), (9, 55), (11, 71), (12, 68)], [(1, 69), (3, 68), (4, 71), (5, 64), (7, 69), (9, 78), (11, 79), (12, 78)]]"
269,"[[(1, 74), (3, 73), (4, 64), (5, 65), (7, 69), (9, 71), (10, 69), (11, 70), (12, 65)], [(1, 74), (3, 75), (5, 74), (7, 78), (9, 76), (10, 74), (11, 81), (12, 78)], [(1, 74), (3, 79), (5, 79), (7, 77), (8, 79), (9, 81), (11, 81), (12, 79)], [(1, 74), (5, 79), (7, 76), (9, 76), (11, 79), (12, 81)], [(1, 74), (4, 72), (5, 72), (7, 72), (9, 70), (11, 68), (12, 71)], [(1, 74), (3, 74), (4, 76), (5, 73), (7, 71), (8, 69), (9, 78), (11, 76), (12, 79)], [(1, 74), (3, 79), (4, 81), (5, 71), (6, 69), (7, 70), (8, 69), (9, 74), (11, 79), (12, 78)], [(1, 74), (3, 78), (4, 76), (5, 74), (6, 76), (7, 77), (8, 76), (9, 77), (11, 74), (12, 73)]]"
270,"[[(1, 73), (3, 71), (5, 72), (7, 70), (8, 72), (9, 74), (11, 72)], [(1, 73), (3, 73), (4, 76), (5, 74), (7, 70), (8, 72), (9, 75)], [(1, 73), (3, 71), (5, 71), (7, 74), (8, 71), (9, 69), (12, 71)], [(1, 73), (3, 76), (4, 78), (5, 76), (7, 74), (8, 73), (9, 71)], [(1, 73), (3, 73), (4, 74), (5, 76), (6, 74), (7, 72), (8, 76), (9, 75)], [(1, 73), (2, 69), (3, 67), (4, 71), (5, 69), (7, 74), (8, 73), (9, 74)], [(1, 73), (2, 71), (3, 69), (4, 68), (5, 69), (7, 72), (8, 77), (9, 79)], [(1, 73), (2, 74), (3, 78), (4, 76), (5, 77), (6, 77), (7, 79), (9, 76)]]"
271,"[[(1, 72), (3, 72), (5, 60), (7, 76), (8, 75), (9, 74), (11, 74), (12, 72)], [(1, 72), (2, 71), (3, 74), (4, 75), (5, 74), (7, 70), (8, 69), (9, 78), (11, 74), (12, 73)], [(1, 72), (3, 71), (5, 69), (7, 69), (8, 68), (9, 69), (11, 81), (12, 79)], [(1, 72), (3, 70), (4, 69), (5, 70), (7, 77), (8, 74), (9, 73), (11, 69), (12, 68)], [(1, 72), (4, 72), (5, 70), (7, 65), (9, 64), (11, 60), (12, 63)], [(1, 72), (3, 67), (4, 66), (5, 67), (9, 55), (11, 71), (12, 74)], [(1, 72), (3, 72), (4, 70), (5, 69), (9, 57), (11, 66), (12, 69)], [(1, 72), (3, 74), (4, 66), (5, 67), (9, 55), (11, 71)]]"
272,"[[(1, 74), (2, 76), (3, 77), (4, 70), (5, 72), (9, 76), (11, 77), (12, 72)], [(1, 74), (2, 72), (3, 74), (4, 75), (5, 77), (7, 81), (9, 83), (10, 86), (11, 83), (12, 86)], [(1, 74), (2, 77), (3, 76), (4, 79), (5, 81), (9, 84), (11, 84), (12, 81)], [(1, 74), (3, 79), (4, 82), (5, 84), (9, 75), (10, 72), (11, 74), (12, 76)], [(1, 74), (5, 74), (9, 62), (10, 66), (11, 64), (12, 62)], [(1, 74), (5, 71), (9, 71), (11, 67), (12, 67)], [(1, 74), (3, 77), (5, 77), (9, 74), (11, 78), (12, 74)], [(1, 74), (3, 78), (4, 76), (5, 76), (7, 76), (9, 77), (11, 74), (12, 72)]]"
273,"[[(1, 76), (2, 77), (3, 81), (5, 81), (7, 81), (9, 78), (11, 74)], [(1, 76), (2, 74), (3, 73), (4, 76), (5, 74), (6, 77), (7, 76), (9, 77), (11, 81)], [(1, 76), (2, 74), (3, 72), (4, 70), (5, 69), (6, 73), (7, 76), (8, 79), (9, 70)], [(1, 76), (2, 78), (3, 74), (4, 71), (5, 69), (6, 71), (7, 67), (9, 66)], [(1, 76), (2, 73), (3, 71), (4, 73), (5, 74), (9, 72)], [(1, 76), (2, 78), (3, 76), (4, 76), (5, 77), (7, 77), (9, 76)], [(1, 76), (2, 78), (3, 81), (5, 81), (7, 83), (9, 71), (11, 79)], [(1, 76), (2, 79), (3, 81), (4, 79), (5, 81), (6, 83), (7, 81), (9, 79), (11, 79)]]"
274,"[[(1, 77), (2, 82), (3, 81), (4, 79), (5, 77), (7, 81), (8, 79), (9, 76), (10, 77), (11, 76), (12, 73)], [(1, 77), (3, 76), (4, 74), (5, 75), (6, 74), (7, 72), (8, 76), (9, 74), (10, 76), (11, 72), (12, 71)], [(1, 77), (3, 76), (4, 74), (5, 70), (6, 69), (7, 67), (8, 64), (9, 60)], [(1, 77), (3, 77), (5, 75), (7, 72), (8, 76), (9, 78)], [(1, 77), (3, 76), (4, 77), (5, 79), (7, 71), (8, 67), (9, 66), (11, 62)], [(1, 77), (2, 79), (3, 76), (4, 79), (5, 75), (7, 74), (8, 76), (9, 78), (11, 74), (12, 72)], [(1, 77), (2, 76), (3, 78), (4, 74), (5, 78), (6, 79), (7, 76), (8, 72), (9, 74), (11, 69), (12, 55)], [(1, 77), (2, 76), (3, 75), (4, 74), (5, 79), (7, 72), (8, 70), (9, 74)]]"
275,"[[(1, 74), (3, 76), (5, 77), (6, 79), (7, 76), (8, 74), (9, 78), (11, 76), (12, 72)], [(1, 74), (3, 72), (5, 71), (7, 79), (8, 78), (9, 76), (11, 73), (12, 71)], [(1, 74), (3, 79), (5, 81), (7, 78), (8, 76), (9, 79)], [(1, 74), (3, 74), (5, 74), (7, 67), (8, 76), (9, 74), (11, 71)], [(1, 74), (3, 74), (5, 72), (7, 76), (9, 74), (11, 72)], [(1, 74), (3, 74), (5, 74), (7, 72), (9, 57), (11, 55), (12, 58)], [(1, 74), (3, 74), (4, 70), (5, 69), (7, 69), (9, 73), (11, 69)], [(1, 74), (2, 77), (3, 76), (4, 74), (5, 72), (7, 81), (9, 79)]]"
276,"[[(1, 65), (4, 67), (5, 66), (7, 62), (8, 60), (9, 58), (11, 55), (12, 58)], [(1, 65), (4, 81), (5, 79), (7, 76), (8, 74), (9, 72), (11, 74)], [(1, 65), (3, 69), (4, 68), (5, 69), (7, 69), (9, 69), (11, 68)], [(1, 65), (4, 81), (5, 79), (7, 81), (9, 78), (11, 76), (12, 78)], [(1, 65), (3, 69), (4, 68), (5, 69), (7, 73), (8, 69), (9, 68), (11, 64), (12, 68)], [(1, 65), (3, 69), (4, 65), (5, 69), (9, 57), (11, 72), (12, 71)], [(1, 65), (2, 64), (3, 66), (4, 67), (5, 62), (7, 64), (9, 62), (11, 64), (12, 62)], [(1, 65), (2, 81), (3, 80), (4, 81), (5, 82), (7, 77), (9, 76)]]"
277,"[[(1, 55), (3, 74), (4, 76), (5, 78), (7, 74), (8, 71), (9, 69)], [(1, 55), (3, 70), (4, 69), (5, 81), (6, 79), (7, 77), (8, 79), (9, 79), (11, 77)], [(1, 55), (3, 71), (5, 71), (6, 72), (7, 71), (9, 72), (11, 74)], [(1, 55), (3, 72), (4, 74), (5, 78), (7, 79), (9, 77), (11, 76)], [(1, 55), (3, 71), (4, 72), (5, 71), (7, 80), (8, 78), (9, 76), (11, 76), (12, 77)], [(1, 55), (3, 72), (4, 71), (5, 74), (7, 69), (8, 74), (9, 74), (11, 76)], [(1, 55), (3, 69), (4, 68), (5, 67), (7, 64), (8, 62), (9, 69), (11, 73), (12, 71)], [(1, 55), (3, 72), (4, 64), (5, 57), (7, 56), (9, 57), (11, 66), (12, 67)]]"
278,"[[(1, 72), (3, 74), (4, 77), (5, 75), (6, 72), (7, 69), (9, 69), (10, 71)], [(1, 72), (3, 72), (4, 76), (5, 74), (7, 74), (9, 74)], [(1, 72), (3, 57), (4, 61), (5, 64), (6, 68), (7, 69), (9, 67)], [(1, 72), (3, 72), (4, 71), (5, 69), (6, 72), (7, 76), (8, 72), (9, 70), (11, 65)], [(1, 72), (2, 71), (3, 67), (4, 65), (5, 57), (6, 64), (7, 72), (8, 71), (9, 69), (11, 72), (12, 75)], [(1, 72), (2, 71), (3, 69), (4, 68), (5, 69), (7, 81), (8, 77), (9, 76), (11, 72), (12, 69)], [(1, 72), (2, 71), (3, 72), (4, 71), (5, 69), (6, 66), (7, 69), (8, 72), (9, 73), (11, 74), (12, 72)], [(1, 72), (3, 74), (4, 73), (5, 74), (7, 73), (9, 69), (11, 67), (12, 71)]]"
279,"[[(1, 74), (3, 79), (5, 76), (9, 64)], [(1, 74), (2, 73), (3, 74), (5, 73), (9, 74)], [(1, 74), (2, 78), (3, 79), (5, 79), (7, 78), (9, 71)], [(1, 74), (2, 76), (3, 78), (4, 71), (5, 69), (7, 74), (8, 77), (9, 74)], [(1, 74), (2, 72), (3, 76), (4, 73), (5, 69), (7, 67), (9, 62)], [(1, 74), (2, 72), (3, 74), (4, 71), (5, 69), (6, 67), (7, 66), (8, 64), (9, 62), (10, 66)], [(1, 74), (2, 76), (3, 74), (4, 72), (5, 69), (6, 73), (7, 76), (8, 72), (9, 73)], [(1, 74), (2, 73), (3, 76), (4, 74), (5, 72), (7, 72), (8, 74), (9, 72)]]"
280,"[[(1, 79), (3, 76), (4, 77), (5, 76), (6, 74), (7, 73), (9, 69), (11, 71), (12, 72)], [(1, 79), (3, 79), (4, 82), (5, 84), (6, 82), (7, 84), (9, 81)], [(1, 79), (3, 81), (4, 79), (5, 81), (7, 71), (9, 79)], [(1, 79), (3, 63), (4, 62), (5, 62), (7, 67), (8, 69), (9, 73), (12, 69)], [(1, 79), (4, 77), (5, 77), (7, 76), (8, 73), (9, 74)], [(1, 79), (3, 78), (4, 79), (5, 81), (7, 81), (8, 77), (9, 74)], [(1, 79), (3, 71), (4, 72), (5, 69), (7, 67), (8, 65), (9, 64)], [(1, 79), (4, 76), (5, 74), (7, 79), (9, 76)]]"
281,"[[(1, 65), (3, 69), (4, 73), (5, 69), (6, 65), (7, 69), (8, 72), (9, 71), (11, 69), (12, 65)], [(1, 65), (3, 64), (4, 66), (5, 67), (6, 64), (7, 61), (9, 62), (11, 60)], [(1, 65), (4, 81), (5, 82), (6, 81), (7, 79), (8, 76), (9, 81), (11, 71)], [(1, 65), (3, 65), (4, 63), (5, 63), (6, 62), (7, 61), (8, 64), (9, 62), (11, 65)], [(1, 65), (3, 65), (4, 64), (5, 57), (6, 59), (7, 60), (8, 57), (9, 59), (11, 55), (12, 60)], [(1, 65), (2, 67), (3, 71), (4, 72), (5, 70), (7, 74), (9, 76), (11, 79), (12, 76)], [(1, 65), (3, 69), (4, 66), (5, 67), (7, 67), (9, 79), (11, 70), (12, 74)], [(1, 65), (2, 67), (3, 66), (4, 67), (5, 71), (7, 71), (8, 73), (9, 73), (11, 69), (12, 67)]]"
282,"[[(1, 74), (3, 74), (5, 71), (11, 69)], [(1, 74), (3, 73), (5, 69), (9, 69), (11, 72)], [(1, 74), (3, 72), (4, 71), (5, 73), (7, 73), (9, 74), (11, 77)], [(1, 74), (3, 72), (4, 71), (5, 71), (7, 80), (9, 78)], [(1, 74), (3, 76), (4, 77), (5, 72), (7, 69), (9, 65), (11, 64)], [(1, 74), (2, 72), (3, 74), (4, 78), (5, 79), (7, 77), (9, 76)], [(1, 74), (2, 73), (3, 74), (4, 79), (5, 77), (7, 79), (9, 79)], [(1, 74), (2, 73), (3, 71), (4, 55), (5, 71), (7, 71), (9, 73)]]"
283,"[[(1, 65), (3, 65), (4, 67), (5, 69), (7, 78), (9, 79), (11, 79), (12, 83)], [(1, 65), (3, 65), (4, 64), (5, 67), (9, 55), (11, 71), (12, 69)], [(1, 65), (2, 67), (3, 65), (4, 64), (5, 62), (9, 61), (10, 62), (11, 64), (12, 62)], [(1, 65), (2, 64), (3, 69), (4, 67), (5, 67), (9, 55), (11, 71)], [(1, 65), (3, 64), (4, 65), (5, 62), (9, 65), (11, 62)], [(1, 65), (3, 81), (4, 79), (5, 72), (6, 75), (7, 76), (9, 73), (11, 70)], [(1, 65), (2, 64), (3, 66), (4, 69), (5, 70), (6, 69), (7, 70), (8, 74), (9, 76), (11, 74)], [(1, 65), (3, 65), (4, 70), (5, 72), (7, 77), (8, 72), (9, 71), (11, 67)]]"
284,"[[(1, 72), (2, 71), (3, 72), (4, 69), (5, 66), (7, 69), (8, 67), (9, 62), (11, 81), (12, 82)], [(1, 72), (2, 74), (3, 78), (5, 79), (7, 79), (8, 77), (9, 79), (11, 72), (12, 70)], [(1, 72), (2, 71), (3, 69), (4, 68), (5, 69), (7, 74), (8, 73), (9, 69), (11, 67)], [(1, 72), (3, 71), (5, 74), (7, 73), (8, 74), (9, 73), (11, 76)], [(1, 72), (3, 72), (4, 71), (5, 69), (7, 69), (8, 70), (9, 69), (11, 81), (12, 83)], [(1, 72), (3, 71), (4, 55), (5, 55), (7, 71), (9, 55), (11, 71), (12, 74)], [(1, 72), (2, 70), (3, 69), (4, 71), (5, 71), (7, 71), (9, 69), (11, 79), (12, 81)], [(1, 72), (2, 74), (3, 75), (4, 74), (5, 74), (7, 72), (8, 74), (9, 76), (11, 79), (12, 72)]]"
285,"[[(1, 73), (3, 74), (4, 76), (5, 77), (6, 74), (7, 72), (8, 76), (9, 74)], [(1, 73), (3, 73), (5, 74), (7, 74), (8, 71), (9, 69)], [(1, 73), (2, 71), (3, 69), (4, 68), (5, 69), (7, 71), (8, 74), (9, 75)], [(1, 73), (2, 71), (3, 69), (4, 66), (5, 67), (6, 55), (7, 71), (8, 74), (9, 75), (10, 74), (11, 70)], [(1, 73), (2, 76), (3, 74), (4, 73), (5, 74), (6, 72), (7, 71), (8, 73), (9, 74), (10, 72)], [(1, 73), (2, 74), (3, 74), (4, 76), (5, 74), (6, 72), (7, 70), (9, 67)], [(1, 73), (3, 71), (5, 69), (6, 66), (7, 69), (9, 66)], [(1, 73), (3, 71), (5, 69), (6, 71), (7, 69), (8, 70), (9, 69)]]"
286,"[[(1, 76), (3, 76), (4, 78), (5, 79), (7, 74), (8, 73), (9, 69), (11, 64), (12, 62)], [(1, 76), (2, 77), (3, 76), (4, 74), (5, 76), (6, 72), (7, 74), (8, 72), (9, 70), (11, 69), (12, 67)], [(1, 76), (3, 76), (4, 78), (5, 79), (7, 83), (8, 79), (9, 77), (11, 76)], [(1, 76), (3, 73), (4, 74), (5, 76), (7, 78), (9, 74), (10, 72), (11, 71)], [(1, 76), (3, 73), (5, 74), (9, 62), (10, 66), (11, 69)], [(1, 76), (3, 78), (4, 74), (5, 75), (7, 74), (9, 62), (10, 65), (11, 69)], [(1, 76), (3, 76), (4, 78), (5, 78), (9, 76), (11, 72)], [(1, 76), (3, 81), (4, 79), (5, 81), (9, 79), (11, 79), (12, 77)]]"
287,"[[(1, 77), (2, 76), (3, 73), (4, 76), (5, 74), (7, 74), (8, 76), (9, 69), (11, 79), (12, 81)], [(1, 77), (2, 76), (3, 74), (4, 72), (5, 70), (7, 67), (8, 69), (9, 70)], [(1, 77), (2, 76), (3, 74), (5, 78), (7, 81), (8, 79), (9, 76)], [(1, 77), (2, 75), (3, 74), (4, 76), (5, 71), (7, 71), (8, 74), (9, 76), (11, 74)], [(1, 77), (2, 76), (3, 72), (4, 76), (5, 77), (7, 65), (9, 65)], [(1, 77), (2, 76), (3, 73), (4, 76), (5, 78), (7, 76), (8, 79), (9, 72), (10, 71)], [(1, 77), (3, 76), (4, 73), (5, 76), (7, 78), (8, 81), (9, 79)], [(1, 77), (2, 76), (3, 78), (4, 79), (5, 81), (7, 78), (8, 76), (9, 74), (11, 81)]]"
288,"[[(1, 67), (3, 79), (5, 81), (6, 80), (7, 83), (8, 79), (9, 77), (11, 76)], [(1, 67), (2, 69), (3, 71), (5, 71), (6, 72), (7, 71), (9, 69), (11, 69)], [(1, 67), (2, 72), (3, 70), (4, 69), (5, 74), (6, 76), (7, 78), (9, 71), (11, 71)], [(1, 67), (2, 72), (3, 71), (4, 74), (5, 72), (6, 71), (7, 76), (8, 79), (9, 78)], [(1, 67), (3, 76), (4, 73), (5, 74), (6, 75), (7, 72), (9, 69)], [(1, 67), (3, 76), (4, 74), (5, 71), (6, 72), (7, 74), (9, 76), (11, 79), (12, 78)], [(1, 67), (3, 71), (5, 71), (7, 69), (9, 65), (11, 62), (12, 67)], [(1, 67), (3, 69), (5, 71), (7, 71), (8, 74), (9, 74), (10, 77), (11, 76), (12, 74)]]"
